task,sample_id,case_id,field_name,repeat_index,requested_model_id,returned_model_id,call_status,attempts,started_utc,ended_utc,latency_ms,request_id,system_fingerprint,prompt_sha256,schema_sha256,output_value,output_reason,input_tokens,output_tokens,error_type,error_message_redacted
extraction,EXT-01-3b14f3a6cd35,1,comparison,1,gpt-5-mini,,response_parse_error,1,2026-09-19T17:02:22.459930+00:00,2026-09-19T17:02:22.882320+00:00,422,,,57a10db9b65680b438993761e4f732008f916e2d0d1105eff5878aa043f7a862,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-3b14f3a6cd35,1,comparison,2,gpt-5-mini,,response_parse_error,1,2026-09-19T17:02:22.474144+00:00,2026-09-19T17:02:22.760966+00:00,286,,,57a10db9b65680b438993761e4f732008f916e2d0d1105eff5878aa043f7a862,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-3b14f3a6cd35,1,comparison,3,gpt-5-mini,,response_parse_error,1,2026-09-19T17:02:22.474899+00:00,2026-09-19T17:02:23.215931+00:00,741,,,57a10db9b65680b438993761e4f732008f916e2d0d1105eff5878aa043f7a862,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-3e7effe3d288,1,ci_lower,1,gpt-5-mini,,response_parse_error,1,2026-09-19T17:01:29.539792+00:00,2026-09-19T17:01:29.899590+00:00,359,,,986b6c0739888bb4fcba4b7c4c05d890f02a7d1774b1161aeb33ff2027cff2b4,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-3e7effe3d288,1,ci_lower,2,gpt-5-mini,,response_parse_error,1,2026-09-19T17:01:29.635704+00:00,2026-09-19T17:01:29.999960+00:00,364,,,986b6c0739888bb4fcba4b7c4c05d890f02a7d1774b1161aeb33ff2027cff2b4,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-3e7effe3d288,1,ci_lower,3,gpt-5-mini,,response_parse_error,1,2026-09-19T17:01:29.655211+00:00,2026-09-19T17:01:30.001822+00:00,346,,,986b6c0739888bb4fcba4b7c4c05d890f02a7d1774b1161aeb33ff2027cff2b4,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-4d3f8bc82b5e,1,effect_size,1,gpt-5-mini,,response_parse_error,1,2026-09-19T17:01:35.720840+00:00,2026-09-19T17:01:36.125938+00:00,405,,,dbcdbd9572ea38ba07d48c43760a9eea728ab2f8c833e83c74303a02c07e9cd8,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-4d3f8bc82b5e,1,effect_size,2,gpt-5-mini,,response_parse_error,1,2026-09-19T17:01:35.724782+00:00,2026-09-19T17:01:36.154219+00:00,429,,,dbcdbd9572ea38ba07d48c43760a9eea728ab2f8c833e83c74303a02c07e9cd8,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-4d3f8bc82b5e,1,effect_size,3,gpt-5-mini,,response_parse_error,1,2026-09-19T17:01:35.726020+00:00,2026-09-19T17:01:36.121440+00:00,395,,,dbcdbd9572ea38ba07d48c43760a9eea728ab2f8c833e83c74303a02c07e9cd8,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
extraction,EXT-01-4f22f8bf0a39,1,sample_size,1,gpt-5-mini,,response_parse_error,1,2026-09-19T17:02:08.203538+00:00,2026-09-19T17:02:08.573236+00:00,369,,,4bb8a9578c094c8bb882e724416b3de781de0439f27b7ff8551a0de5b819c442,1ce1c40881404d7187beaedebbf611dc51d25d4a7afbfaacf15fbb80a258f409,,,,,TypeError,'NoneType' object is not subscriptable
