case_id,slug,field_name,field_class,field_cells,null_cells,null_rate,evaluator_correct,evaluator_incorrect,evaluator_unverifiable,evaluator_unverifiable_rate_all,conditional_agreement_excluding_unverifiable,human_accuracy_status
1,nurse_staffing_mortality,ci_lower,potentially_synthesis_critical,22,20,0.9090909090909091,2,0,20,0.9090909090909091,1.0,pending_human_adjudication
1,nurse_staffing_mortality,ci_upper,potentially_synthesis_critical,22,20,0.9090909090909091,2,0,20,0.9090909090909091,1.0,pending_human_adjudication
1,nurse_staffing_mortality,comparison,categorical,22,12,0.5454545454545454,10,0,12,0.5454545454545454,1.0,pending_human_adjudication
1,nurse_staffing_mortality,country,categorical,22,7,0.3181818181818182,13,2,7,0.3181818181818182,0.8666666666666667,pending_human_adjudication
1,nurse_staffing_mortality,effect_size,potentially_synthesis_critical,22,19,0.8636363636363636,3,0,19,0.8636363636363636,1.0,pending_human_adjudication
1,nurse_staffing_mortality,intervention,categorical,22,4,0.18181818181818182,17,1,4,0.18181818181818182,0.9444444444444444,pending_human_adjudication
1,nurse_staffing_mortality,outcome,categorical,22,1,0.045454545454545456,21,0,1,0.045454545454545456,1.0,pending_human_adjudication
1,nurse_staffing_mortality,population,categorical,22,2,0.09090909090909091,20,0,2,0.09090909090909091,1.0,pending_human_adjudication
1,nurse_staffing_mortality,sample_size,potentially_synthesis_critical,22,13,0.5909090909090909,8,1,13,0.5909090909090909,0.8888888888888888,pending_human_adjudication
1,nurse_staffing_mortality,study_design,categorical,22,8,0.36363636363636365,14,0,8,0.36363636363636365,1.0,pending_human_adjudication
2,mindfulness_anxiety,ci_lower,potentially_synthesis_critical,72,55,0.7638888888888888,17,0,55,0.7638888888888888,1.0,pending_human_adjudication
2,mindfulness_anxiety,ci_upper,potentially_synthesis_critical,72,55,0.7638888888888888,17,0,55,0.7638888888888888,1.0,pending_human_adjudication
2,mindfulness_anxiety,country,categorical,72,64,0.8888888888888888,7,0,65,0.9027777777777778,1.0,pending_human_adjudication
2,mindfulness_anxiety,effect_size,potentially_synthesis_critical,72,42,0.5833333333333334,28,2,42,0.5833333333333334,0.9333333333333333,pending_human_adjudication
2,mindfulness_anxiety,intervention,categorical,72,0,0.0,72,0,0,0.0,1.0,pending_human_adjudication
2,mindfulness_anxiety,outcome,categorical,72,0,0.0,72,0,0,0.0,1.0,pending_human_adjudication
2,mindfulness_anxiety,population,categorical,72,0,0.0,72,0,0,0.0,1.0,pending_human_adjudication
2,mindfulness_anxiety,sample_size,potentially_synthesis_critical,72,5,0.06944444444444445,66,1,5,0.06944444444444445,0.9850746268656716,pending_human_adjudication
2,mindfulness_anxiety,study_design,categorical,72,2,0.027777777777777776,68,0,4,0.05555555555555555,1.0,pending_human_adjudication
3,glp1_cardiovascular,ci_lower,potentially_synthesis_critical,841,444,0.5279429250891795,399,2,440,0.5231866825208086,0.9950124688279302,pending_human_adjudication
3,glp1_cardiovascular,ci_upper,potentially_synthesis_critical,841,440,0.5231866825208086,403,2,436,0.5184304399524375,0.9950617283950617,pending_human_adjudication
3,glp1_cardiovascular,country,categorical,841,682,0.8109393579072532,158,1,682,0.8109393579072532,0.9937106918238994,pending_human_adjudication
3,glp1_cardiovascular,drug,categorical,841,71,0.08442330558858502,769,4,68,0.08085612366230678,0.9948253557567918,pending_human_adjudication
3,glp1_cardiovascular,follow_up_years,other_numeric,841,535,0.6361474435196195,284,30,527,0.6266349583828775,0.9044585987261147,pending_human_adjudication
3,glp1_cardiovascular,hazard_ratio,potentially_synthesis_critical,841,507,0.6028537455410226,329,14,498,0.5921521997621879,0.9591836734693877,pending_human_adjudication
3,glp1_cardiovascular,outcome,categorical,841,7,0.008323424494649227,821,13,7,0.008323424494649227,0.9844124700239808,pending_human_adjudication
3,glp1_cardiovascular,sample_size,potentially_synthesis_critical,841,311,0.3697978596908442,526,12,303,0.36028537455410226,0.9776951672862454,pending_human_adjudication
3,glp1_cardiovascular,study_design,categorical,841,78,0.09274673008323424,756,6,79,0.093935790725327,0.9921259842519685,pending_human_adjudication
4,ai_radiology_diagnosis,ai_model_type,categorical,2444,59,0.02414075286415712,2374,8,62,0.02536824877250409,0.9966414777497901,pending_human_adjudication
4,ai_radiology_diagnosis,auc,potentially_synthesis_critical,2444,1553,0.6354337152209493,786,98,1560,0.6382978723404256,0.8891402714932126,pending_human_adjudication
4,ai_radiology_diagnosis,imaging_modality,categorical,2444,162,0.0662847790507365,2270,19,155,0.06342062193126023,0.9916994320664045,pending_human_adjudication
