relative_path,stage,case_id,slug,size_bytes,sha256,modified_utc,row_count,column_count,parse_status,parse_error,blank_title_count,missing_abstract_count,missing_doi_count,invalid_year_count,case_id_mismatch_count,duplicate_doi_row_count,duplicate_title_row_count,include_count,exclude_count,invalid_decision_count,blank_decision_count,extraction_field_count,judge_field_count,extraction_null_cell_count,judge_correct_count,judge_incorrect_count,judge_unverifiable_count,judge_blank_count,judge_invalid_count,columns_json
legacy/raw/case_01_nurse_staffing_mortality.csv,raw,1,nurse_staffing_mortality,54658,2bb59cc120d33eee31108d59990c456f227022ff3b2e73d97a1f0c518652acb6,2026-06-14T16:27:00+00:00,90,6,ok,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_02_mindfulness_anxiety.csv,raw,2,mindfulness_anxiety,5638417,a08dc3c501c3a4a5b71ae63e75541adb1b917f78252dbab82bd65a676528b9df,2026-06-14T16:27:30+00:00,2803,6,ok,,0,207,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_03_glp1_cardiovascular.csv,raw,3,glp1_cardiovascular,12757839,fd5e45c68602b1cdf0a9ff6283cb71d9af3ebb9960e1f26c2ba43e8faf9eb2b1,2026-06-14T17:54:08+00:00,5945,6,ok,,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_04_ai_radiology_diagnosis.csv,raw,4,ai_radiology_diagnosis,17520485,64f252cad8be2630b2ddc7063534e199b647afad1fd65a7fbf4d6a175996f27e,2026-06-14T16:43:18+00:00,9929,6,ok,,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_05_cash_transfers_education.csv,raw,5,cash_transfers_education,8417868,336605c6126735ab76d8419fa0654d27cdb51d95a99ed177734ab1ea04f75deb,2026-06-14T17:54:41+00:00,4447,6,ok,,1,0,512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_06_social_media_mental_health.csv,raw,6,social_media_mental_health,7601347,8c4e35824279a08be51a216d352fc780a77b484475e932b424287f7321ca8009,2026-06-14T16:59:46+00:00,3968,6,ok,,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_07_restorative_justice_recidivism.csv,raw,7,restorative_justice_recidivism,6663793,1ebbf427c9e287f671d1e948ad0f2d8f9a3de54b91278cdd550db030d73d5913,2026-06-14T17:12:30+00:00,4102,6,ok,,0,94,2520,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_08_gender_pay_gap.csv,raw,8,gender_pay_gap,10845190,9004f761f33bc5c14eb8426124c7be3c4775f933ea355ff922db310d99a0f9c0,2026-06-14T17:55:37+00:00,7708,6,ok,,1,0,1805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_09_intelligent_tutoring_scores.csv,raw,9,intelligent_tutoring_scores,6709750,d65e388d1d5c34651d2702c4ff8f3d7fbcb609e831a5af088068458e7b06417d,2026-06-14T17:13:11+00:00,3962,6,ok,,1,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
legacy/raw/case_10_game_based_learning_motivation.csv,raw,10,game_based_learning_motivation,1316497,afcfadf9fa1d8fa93ae5f3913a682d9307b0258290544f45653a6d3c3f646813,2026-06-14T17:14:07+00:00,993,6,ok,,0,261,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""title"", ""year"", ""doi"", ""abstract"", ""source"", ""case_id""]"
